Row Labels,Count of address,Sum of inETH,Sum of wProfETH,avgYield,avgProf,waProf
0x31fE8439F34ed04514288a6f0F19f26c647Cd6aD,4,247.4594514,44028.52843,1.948875672,70.52396562,177.9221936
0xC72AED14386158960D0E93Fecb83642e68482E4b,2,245.5835103,43333.16706,1.858239693,187.9404641,176.4498235
0x000000002605006fF4aD30ac969F0726821ebd7c,2,73.79869148,13015.24886,3.146339631,116.765856,176.3615126
0x4Bcc5cA6394971DDE157dEa794553D2B9DE44B0F,3,202.6599159,35663.63851,1.045777062,102.7699667,175.9777623
0x3ce7a8429C799C2bb3F26c6595FDfE6Afaf9298A,1,25.21152816,4427.535608,6.965683242,175.6155192,175.6155192
0x4f58985B75EeC8f14C536878A19EAdF4a1960D6c,3,36.03829208,6322.852522,10.76610116,141.6000388,175.4481735
0xC1d1B12bCE4a73310F268d49EFAB95eb2A679609,2,158.5820125,27606.85197,0.644598197,94.1849223,174.0856452
0xBA1b1F951ec6eb3c938197F04310951c180D7929,1,81.4268152,14130.66745,2.131217522,173.5382554,173.5382554
0x1714A5badf44F9Aade2E902eb083b80f6d4129a2,1,256.3575167,43964.89794,0.668981268,171.4983766,171.4983766
0x277D9B33e774560f4d391c148C9e4E24cfb77F8F,1,291.0087189,49886.9544,0.589080964,171.4276967,171.4276967
0x0bB69814be681c807396e8AFa32e96d9ca80A217,1,154.7442737,26299.301,1.098284948,169.9533066,169.9533066
0x68f0e770857d2cd4369dd6f002FC3d69d79469eA,1,203.2442001,33692.69695,0.815641761,165.7744572,165.7744572
0xA577110D143bd1d1105A31e8fC19B3F65DE3ebed,1,22.67454986,3663.8721,7.126281221,161.5852188,161.5852188
0x068B65394EBB0e19DFF45880729C77fAAF3b5195,2,499.6131853,80325.62558,5.952098387,203.7703871,160.7756319
0x145B4669042c9117DA9D3552577b73EE85D3dc77,2,149.1106391,23945.89884,2.077093267,149.4466193,160.5914841
0x01F6A06eC1F5341f7d322a27a3Dac7004C698963,1,4.212471026,669.9371371,37.75375903,159.036616,159.036616
0x3a89Cd7d1Cf3eb657F70954F0011548675c7132E,1,108.0535095,17184.27269,1.4718156,159.0348409,159.0348409
0x3e17fac953DE2Cd729B0aCe7f6d4353387717e9e,3,158.5761417,25190.64287,1.573042625,82.62375063,158.8551884
0x198ad6C547D20d70f2F656a4F48e6c7cfb7B4325,2,115.8750152,18388.02751,0.886720496,87.74626608,158.6884582
0x09A028d3bA10B335308578eFB6260E04c3012C05,1,28.76232969,4499.523325,5.43899159,156.4380693,156.4380693
0x6427Fc587266813B6993ae4c8DE672640cB3B43F,1,14.96744083,2317.35476,10.34421228,154.8263853,154.8263853
0x46499275b5c4d67dfa46B92D89aADA3158ea392e,1,264.2521578,40876.15814,0.585373403,154.6861849,154.6861849
0xb564E7149D37ba3F17371ef4E1B86C86FDe46e38,1,1.840197321,284.0548068,83.88288417,154.3610588,154.3610588
0x1d3cf81Bd52DAA3B44FDd1BfaB0ce3d60de0c67c,1,7.355040621,1133.015397,20.94429087,154.0461101,154.0461101
0x6fC34A8B9B4973b5E6b0B6a984Bb0bEcC9Ca2b29,1,23.23725457,3565.190348,6.60257116,153.4256268,153.4256268
0x166ed9f7A56053c7c4E77CB0C91a9E46bbC5e8b0,2,70.58697097,10825.21437,1.960276928,101.1796736,153.3599505
0xC216d39cCEb3d86a72e06da26A97D1ADbAE97685,1,1.965476728,293.8585664,76.06809559,149.5100716,149.5100716
0xEf3375B491CFf653eAf7C9955a5466f7EA06F37B,1,99.63470879,14896.07572,1.500550306,149.5068927,149.5068927
0x444e01DCb3A1eC1b1aa1344505ed7C8690D53281,1,28.55084523,4206.54002,5.16044419,147.3350434,147.3350434
0xF555eA7a85C2Cf13DB640148e2d4c8a8027e8eF4,1,540.8054457,79576.63571,0.272084287,147.1446642,147.1446642
0x8b7B509c01838a0D197a8154C5BF00A3F56fF615,1,206.0638107,30236.56826,0.712080421,146.7340051,146.7340051
0x0eE1445AD8bbDCe6D701f3215d3e940bc027d883,1,1.81142064,264.8224679,80.70792927,146.1960089,146.1960089
0xee2826453A4Fd5AfeB7ceffeEF3fFA2320081268,1,9.977550273,1443.879279,14.50384115,144.7128042,144.7128042
0xF55D84504217542D4F39d9bf9A70342744836007,3,426.2576291,61586.16766,1.282858731,132.9309903,144.4810919
0xF731F4C74eaE61dFa88e0b6A13f9d2624bF2B16F,1,89.31940102,12746.12732,1.59766841,142.7027854,142.7027854
0x8684Cfec578ee0B4c95C2C34e5612f1Bbb8e5EC4,1,194.1771845,27407.735,0.726903479,141.1480709,141.1480709
0xaD14E12a3D519Abd62f23a4797E89f51D126D0F5,1,9.702481443,1357.060765,14.41563086,139.8673909,139.8673909
0x4740Fa6b32C5b41EBbF631fE1aF41e6Fff6e2388,2,262.5957487,36203.40856,-0.000941635,68.90144262,137.8674588
0xc1eD4Bb443cf2afDd038621f6Ef88C7804801325,1,31.23319833,4297.976254,4.405864066,137.6092262,137.6092262
0xE84Eb5f8AC725a2EFd9018Fe9BFb50B34a27e3Ed,2,247.2034997,33906.69114,0.767827918,108.6461378,137.1610482
0x17080B589CdCbd10EBeaa24cB0096f4BB29eB52B,1,75.0784563,10291.31459,1.825745274,137.0741368,137.0741368
0x201b5Abfd44A8F9b75F0fE1BaE74CDaC7675E54B,2,18.2058854,2489.455179,5.793940747,84.17384719,136.7390338
0x5398850A9399Da87624874704FEAa8A9C6C4089B,1,4.31534467,587.8092255,31.56497285,136.2137374,136.2137374
0xB60b2887C7f64ae49EcC939eCB48C985E9358f09,1,10.78444847,1466.93777,12.61292495,136.0234392,136.0234392
0x9B77173d2A00fA640a25D3A663031c9eE5cB82e2,1,3.018266572,394.9250211,43.35103416,130.8449773,130.8449773
0x51aB3DBF9a5089a85E6e3e8252DF7C911078DD84,2,84.41713047,11042.70057,17.1238077,126.4516834,130.8111341
0x7620fD9B67F62de89334C3ca58212c82260bc666,1,5.552410543,723.1877939,23.45783607,130.2475363,130.2475363
0x98041aB523024dACaefA3Bb70dD982DBAC68E855,3,84.6251057,10754.16332,3.747986651,79.28024388,127.0800577
0x81E1B5163cFaD14662DFb133554F3F4bE8e60b5c,2,1077.375574,134860.9599,-0.287824561,41.63386677,125.1754385
0x1333c53A798547126Ca04647BA925485A6FA7Aad,1,14.9675377,1869.226196,8.343747205,124.8853508,124.8853508
0xcf26598F57E30c5470cc9D63F6E75E27BbA5b2bE,1,3.294968204,409.3707849,37.70634088,124.2411943,124.2411943
0x2996501051C99b94fDe22DD259342b387706e72a,1,539.7351089,67006.20305,0.230013682,124.1464599,124.1464599
0xD45cB67FBe9E98E8F2ddd02472C330C54001d449,1,21.68519093,2691.542012,5.723671003,124.1188985,124.1188985
0x8e2D370Bd7F34cD57eB7b2f15176f913721D6042,1,1.626351825,199.8534831,75.55839409,122.8845321,122.8845321
0x7065AbaDb7eCf8c872115D13eEc42b36E1ED1F2a,1,70.9941142,8714.590627,1.729029094,122.7508889,122.7508889
0xfd0315B6d5B8A2d8C73072FD105a285b1658A223,1,96.95722633,11817.7819,1.257116725,121.8865509,121.8865509
0x455d7Eb74860d0937423b9184f9e8461aa354Ebb,3,180.0300544,21871.98776,2.4782662,90.55891547,121.4907579
0xE83554B397BdA8ECAE7FEE5aeE532e83Ee9eB29D,3,69.72421878,8453.087466,0.93994673,44.64315673,121.2360298
0x0f87DD03a74e6a48D56661d96f44880C79b9d795,3,58.33400766,6998.160346,2.028151584,55.95451978,119.9670763
0xF77Ef0c69b6906924fA1Ce98a0e0a1FFaaDE026A,1,4.058487959,486.2263171,29.51956394,119.8047948,119.8047948
0x9c57618bfCDfaE4cE8e49226Ca22A7837DE64A2d,1,184.5728559,21759.061,0.638711132,117.8887377,117.8887377
0x2d8E85b308d9Cbe0cdD2A9AF8A07BE39DdA22b25,3,1101.766232,127232.0537,1.043755934,76.71914934,115.480081
0xa82BEDbf06445c4Ed2DD13D50E6E52Abba5D0DD4,1,30.50151272,3519.657148,3.783185212,115.3928718,115.3928718
0x13838E488e298aFc21046CdEDc1c3Ce4Df38cD90,1,41.69468889,4794.360237,2.757840769,114.9873129,114.9873129
0x03A45E8df40f9Bece0762Afd55ef98e3490D37E7,1,3.480682458,398.6983049,32.90906779,114.546015,114.546015
0x8753Bc4c55aE8799A1A7091d0F28eA60C23d8744,2,33.11130207,3783.76446,7.241612915,67.98090838,114.2741065
0xc0E5E14bDEcD9ed6954A9E14c74E97CEBD91Bb94,1,9.974478765,1125.405481,11.31171894,112.8285004,112.8285004
0x84CF9C081A88686c3D309F4778519E6Ea153f485,2,34.62401759,3900.317197,2.2851441,65.29067862,112.6477361
0x702851277ACfF6745d4C600fF38D3b0f517bC970,1,101.9983117,11486.36062,1.104069672,112.6132425,112.6132425
